"","player","team","seasons","total_targets","total_catchables","total_rec","total_drops","total_yards","total_yac","total_tds","comp_perc","on_tgt_rate","yards_per_target","yards_per_rec","yards_per_game","broken_tackles","total_first_downs","first_down_perc","drop_rate","rec_rating"
"699","Victor Bolden Jr","Oregon State",1,90,58,46,7,542,113,2,51.11,81.8,6.02,11.7826086956522,49.3,4,23,50,12.1,58.7
"700","Victor Tucker","Charlotte",3,224,162,136,9,2021,215,11,60.7833333333333,90,8.9,14.8602941176471,67.1,13,96,69.1666666666667,5.1,89
"701","Wan'Dale Robinson","Nebraska",1,65,55,51,1,461,56,1,78.46,100,7.09,9.03921568627451,57.6,4,19,37.3,1.8,88.5
"702","Warren Jackson","Colorado State",1,124,89,77,5,1119,188,8,62.1,89.4,9.02,14.5324675324675,111.9,10,57,74,5.6,106.2
"703","Whop Philyor","Indiana",2,193,145,124,10,1482,283,8,63.985,91,7.56,11.9516129032258,72.1,16,67,53.55,6.65,96.2
"704","Willie Wright","Florida Atlantic",2,152,119,104,7,1097,232,8,68.63,90.75,7.145,10.5480769230769,43.6,10,47,45.4,5.9,94.75
"705","Winston Wright Jr","West Virginia",1,65,55,47,5,553,97,2,72.31,88.7,8.51,11.7659574468085,55.3,0,24,51.1,9.1,108
"706","Wyatt Demps","Nevada",2,200,148,120,8,1592,192,20,60.025,82.9,7.945,13.2666666666667,66.35,19,64,53.9,5.35,104.05
"707","Xavier Castille","SMU",1,70,52,40,9,423,68,1,57.14,76.5,6.04,10.575,35.3,6,23,57.5,17.3,79.6
"708","Xavier Gaines","Marshall",1,47,33,28,2,404,52,4,59.57,89.7,8.6,14.4285714285714,40.4,3,17,60.7,6.1,98.2
"709","Xavier Hutchinson","Iowa State",1,93,77,64,3,771,240,4,68.82,90.8,8.29,12.046875,64.3,9,35,54.7,3.9,94.9
"710","Xavier Lane","Western Kentucky",1,52,42,34,5,376,39,1,65.38,84.6,7.23,11.0588235294118,37.6,1,18,52.9,11.9,93.1
"711","Yo'Heinz Tyler","Ball State",1,72,56,42,8,607,128,8,58.33,80.4,8.43,14.452380952381,75.9,5,32,76.2,14.3,105.5
"712","Yusuf Ali","Middle Tennessee",1,48,41,37,3,457,103,2,77.08,91.9,9.52,12.3513513513514,65.3,5,21,56.8,7.3,111.2
"713","Zach Jackson","Louisiana-Monroe",1,67,46,30,10,392,59,1,44.78,69.8,5.85,13.0666666666667,32.7,4,20,66.7,21.7,43.9
"714","Zach Pascal","Old Dominion",1,105,78,65,6,946,93,9,61.9,84.4,9.01,14.5538461538462,72.8,7,45,69.2,7.7,115.8
"715","Zakhari Franklin","UTSA",1,85,61,49,4,689,45,7,57.65,84.2,8.11,14.0612244897959,68.9,0,30,61.2,6.6,101.5
"716","Zane Pope","Fresno State",1,67,53,47,1,520,87,1,70.15,93.8,7.76,11.063829787234,43.3,1,24,51.1,1.9,79.2
"717","Zay Flowers","Boston College",1,106,71,56,12,892,119,9,52.83,85.2,8.42,15.9285714285714,81.1,3,30,53.6,16.9,97.7
"718","Zay Jones","East Carolina",1,227,178,158,4,1746,298,8,69.6,90.8,7.69,11.0506329113924,145.5,24,92,58.2,2.2,94.7
