"","player","team","seasons","total_targets","total_catchables","total_rec","total_drops","total_yards","total_yac","total_tds","comp_perc","on_tgt_rate","yards_per_target","yards_per_rec","yards_per_game","broken_tackles","total_first_downs","first_down_perc","drop_rate","rec_rating"
"587","Sam Pinckney","Georgia State",1,73,51,46,0,815,107,7,63.01,97.7,11.16,17.7173913043478,81.5,3,30,65.2,0,121.7
"588","Saquon Barkley","Penn State",1,67,62,54,5,625,132,3,80.6,86.9,9.33,11.5740740740741,48.1,19,22,40.7,8.1,120.5
"589","Scott Miller","Bowling Green",3,322,239,207,21,2830,428,23,64.6533333333333,86.3,8.75666666666667,13.6714975845411,81.5,11,127,61.2666666666667,8.86666666666667,99.2333333333333
"590","Scotty Washington","Wake Forest",1,78,62,45,7,711,112,3,57.69,73.8,9.12,15.8,54.7,8,35,77.8,11.3,95.6
"591","Sean Dykes","Memphis",1,69,55,47,1,575,90,7,68.12,95.6,8.33,12.2340425531915,52.3,2,27,57.4,1.8,109.3
"592","Sean Modster","Boise State",1,118,78,68,4,978,52,8,57.63,93.1,8.29,14.3823529411765,69.9,2,44,64.7,5.1,96.6
"593","Sean Riley","Syracuse",1,88,73,64,3,758,112,3,72.73,90,8.61,11.84375,58.3,8,33,51.6,4.1,100.5
"594","Sebastian Smith","Ohio",1,109,69,56,7,920,123,4,51.38,82.4,8.44,16.4285714285714,70.8,6,41,73.2,10.1,77
"595","Sergio Bailey II","Eastern Michigan",2,213,143,113,7,1730,199,16,53.04,80.75,8.12,15.3097345132743,69.35,12,77,68.3,5,89.5
"596","Seth Williams","Auburn",2,210,136,105,15,1581,249,12,49.87,81.7,7.525,15.0571428571429,68.75,19,74,70.85,11.25,85.9
"597","Shaedon Meadon","Appalachian State",1,70,53,45,1,716,50,2,64.29,86.5,10.23,15.9111111111111,55.1,3,33,73.3,1.9,95.9
"598","Shameen Jones","Rutgers",1,52,37,34,1,326,58,3,65.38,94.3,6.27,9.58823529411765,36.2,2,17,50,2.7,93.9
"599","Shawn Poindexter","Arizona",1,75,50,42,2,759,153,11,56,87.2,10.12,18.0714285714286,63.3,5,33,78.6,4,113.8
"600","Shay Fields","Colorado",2,180,127,102,8,1506,135,13,56.75,83,8.31,14.7647058823529,57.5,17,57,55.35,6.55,102.65
"601","Shelton Gibson","West Virginia",1,73,57,43,4,951,84,8,58.9,79.6,13.03,22.1162790697674,73.2,7,28,65.1,7,134.1
"602","Shermar Thornton","FIU",1,93,61,51,8,668,153,5,54.84,88.7,7.18,13.0980392156863,51.4,6,32,62.7,13.1,95.6
"603","Shi Smith","South Carolina",2,162,117,100,8,1122,146,6,61.495,94.45,6.905,11.22,59.6,4,56,55.1,6.75,86.45
"604","Shun Brown","Arizona",1,89,75,64,6,655,237,6,71.91,88.6,7.36,10.234375,54.6,15,35,54.7,8,110.5
"605","Siaosi Mariner","Utah State",1,104,78,62,4,976,125,10,59.62,87.1,9.38,15.741935483871,75.1,1,41,66.1,5.1,106.9
"606","Simi Fehoko","Stanford",1,59,43,37,5,574,83,3,62.71,86,9.73,15.5135135135135,95.7,0,26,70.3,11.6,104.8
"607","Simmie Cobbs Jr.","Indiana",1,125,93,72,5,841,125,8,57.6,79.1,6.73,11.6805555555556,70.1,17,43,59.7,5.4,89.5
"608","Skyy Moore","Western Michigan",1,86,58,51,2,802,213,3,59.3,90.9,9.33,15.7254901960784,61.7,12,35,68.6,3.4,97.1
"609","Smoke Harris","Louisiana Tech",2,122,100,87,8,654,197,6,71.185,91.25,5.365,7.51724137931035,32.45,4,37,42.9,7.65,90.15
"610","Spencer Tears","Northern Illinois",2,160,116,83,14,950,139,8,51.875,75.85,5.94,11.4457831325301,37.9,14,41,49.25,12.05,65.9
"611","Stacy Coley","Miami FL",1,103,80,63,5,754,138,9,61.17,80.8,7.32,11.968253968254,58,31,32,50.8,6.3,104.6
"612","Stanley Morgan Jr.","Nebraska",2,225,159,131,8,1990,319,17,58.205,84.8,8.84,15.1908396946565,86.65,26,85,65.25,4.95,101.5
"613","Stephen Louis","NC State",1,75,43,35,3,677,116,2,46.67,81.4,9.03,19.3428571428571,52.1,8,25,71.4,7,65.3
"614","Stephon Robinson Jr","Kansas",1,75,52,45,5,727,79,8,60,89.1,9.69,16.1555555555556,60.6,1,29,64.4,9.6,128
"615","Steve Ishmael","Syracuse",2,242,182,153,11,1910,309,8,65.13,86,7.955,12.483660130719,81.7,26,81,50.45,6.45,90.25
"616","Steven Dunbar","Houston",2,206,155,129,10,1798,321,8,62.48,86.95,8.69,13.937984496124,72.6,24,77,60.4,7.15,90.7
"617","Steven Mitchell Jr.","USC",1,70,53,41,3,644,87,4,58.57,78.8,9.2,15.7073170731707,53.7,11,32,78,5.7,102.3
"618","Steven Sims Jr.","Kansas",3,320,223,184,17,2243,293,17,57.5333333333333,86.7333333333333,7.03,12.1902173913043,64.4333333333333,23,96,52.2666666666667,7.86666666666667,79.2333333333333
"619","T.J. Rahming","Duke",3,335,249,210,18,2349,249,11,62.9466666666667,86.2666666666667,7.02,11.1857142857143,63.7333333333333,12,106,50.5333333333333,7.16666666666667,84.6666666666667
"620","T.L. Ford II","Charlotte",1,84,48,36,7,430,83,4,42.86,76.6,5.12,11.9444444444444,35.8,3,20,55.6,14.6,70
"621","Tabari Hines","Wake Forest",1,80,62,53,4,683,104,7,66.25,88.3,8.54,12.8867924528302,56.9,17,29,54.7,6.5,116.8
"622","Tahj Washington","Memphis",1,75,52,43,3,743,214,6,57.33,89.4,9.91,17.2790697674419,67.5,1,31,72.1,5.8,106.7
"623","Taivon Jacobs","Maryland",1,87,61,47,5,553,39,5,54.02,78,6.36,11.7659574468085,46.1,3,26,55.3,8.2,78.4
"624","Taj Harris","Syracuse",2,178,116,95,6,1292,304,7,52.885,85.7,7.3,13.6,59.95,16,51,54.25,5.05,71.45
"625","Taj Williams","TCU",1,76,48,38,5,694,82,5,50,79.2,9.13,18.2631578947368,53.4,3,27,71.1,10.4,103.7
"626","Tamorrion Terry","Florida State",2,176,125,95,12,1931,260,17,53.22,78.9,10.89,20.3263157894737,76.65,10,61,66.3,9.65,113.05
"627","Tanner Gentry","Wyoming",1,122,81,68,6,1253,104,13,55.74,84,10.27,18.4264705882353,96.4,5,54,79.4,7.4,116.6
